date,store_id,region,product,category,units_sold,unit_price,revenue,promotion_flag
2022-11-13,EA-S04,East,Beta Widget,Widgets,3,68.47,205.41,0
2021-11-11,NO-S02,North,Alpha Widget,Widgets,2,73.72,147.44,0
2022-12-06,WE-S03,West,Epsilon Gadget,Gadgets,2,123.66,247.32,0
2022-08-07,WE-S02,West,Epsilon Gadget,Gadgets,3,86.19,258.57,1
2022-05-21,CE-S05,Central,Gamma Widget,Widgets,4,47.8,191.2,0
2021-08-18,SO-S01,South,Theta Tool,Tools,3,41.77,125.31,0
2022-01-13,WE-S03,West,Xi Module,Modules,2,177.72,355.44,0
2023-04-20,SO-S03,South,Mu Component,Components,2,24.32,48.64,0
2022-07-04,WE-S04,West,Gamma Widget,Widgets,6,73.7,442.2,0
2021-09-11,NO-S01,North,Iota Tool,Tools,3,40.21,120.63,0
2022-01-14,SO-S02,South,Gamma Widget,Widgets,5,51.47,257.35,0
2022-12-28,CE-S04,Central,Rho Part,Parts,5,15.49,77.45,0
2023-08-25,EA-S06,East,Iota Tool,Tools,1,41.74,41.74,0
2022-08-05,SO-S06,South,Mu Component,Components,1,23.84,23.84,0
2022-08-24,EA-S03,East,Tau Kit,Kits,4,239.96,959.84,0
2021-02-18,NO-S03,North,Theta Tool,Tools,1,32.52,32.52,0
2021-08-11,CE-S04,Central,Rho Part,Parts,6,12.04,72.24,0
2023-08-06,EA-S03,East,Mu Component,Components,2,27.72,55.44,1
2021-10-08,WE-S03,West,Delta Gadget,Gadgets,4,64.54,258.16,0
2023-09-09,NO-S05,North,Nu Component,Components,3,24.04,72.12,0
2022-03-25,WE-S03,West,Alpha Widget,Widgets,5,51.26,256.3,0
2023-06-09,WE-S03,West,Omicron Module,Modules,1,222.66,222.66,0
2023-03-09,SO-S06,South,Tau Kit,Kits,6,281.0,1686.0,0
2021-07-17,CE-S01,Central,Sigma Kit,Kits,10,315.72,3157.2,0
2023-12-01,CE-S06,Central,Sigma Kit,Kits,7,355.98,2491.86,0
2023-03-26,CE-S03,Central,Beta Widget,Widgets,3,40.83,122.49,0
